investor_id,sip_transactions,avg_gap_days,risk_status
INV000001,1,,Normal
INV000002,3,96.5,At Risk
INV000004,3,22.5,Normal
INV000005,5,91.0,At Risk
INV000006,1,,Normal
INV000008,2,222.0,At Risk
INV000009,3,242.5,At Risk
INV000010,5,77.5,At Risk
INV000011,4,128.0,At Risk
INV000012,3,111.5,At Risk
INV000013,3,123.0,At Risk
INV000014,4,157.0,At Risk
INV000015,1,,Normal
INV000016,2,53.0,At Risk
INV000017,3,169.0,At Risk
INV000018,2,331.0,At Risk
INV000019,1,,Normal
INV000020,4,92.33333333333333,At Risk
INV000021,3,184.0,At Risk
INV000022,4,159.66666666666666,At Risk
INV000023,2,128.0,At Risk
INV000024,3,46.5,At Risk
INV000026,3,58.0,At Risk
INV000027,5,53.75,At Risk
INV000028,3,99.5,At Risk
INV000029,4,52.666666666666664,At Risk
INV000030,3,210.5,At Risk
INV000031,3,81.5,At Risk
INV000032,4,158.0,At Risk
INV000033,3,33.0,Normal
INV000034,2,62.0,At Risk
INV000037,3,123.0,At Risk
INV000038,3,192.5,At Risk
INV000039,2,238.0,At Risk
INV000040,5,116.0,At Risk
INV000041,5,85.75,At Risk
INV000042,1,,Normal
INV000043,2,76.0,At Risk
INV000044,4,148.33333333333334,At Risk
INV000045,4,78.33333333333333,At Risk
INV000046,3,194.0,At Risk
INV000047,3,78.0,At Risk
INV000048,2,223.0,At Risk
INV000050,1,,Normal
INV000051,3,156.5,At Risk
INV000052,4,132.66666666666666,At Risk
INV000054,2,335.0,At Risk
INV000055,7,62.5,At Risk
INV000056,2,165.0,At Risk
INV000057,3,93.0,At Risk
INV000058,2,45.0,At Risk
INV000061,2,179.0,At Risk
INV000062,3,128.0,At Risk
INV000064,1,,Normal
INV000065,2,415.0,At Risk
INV000066,5,56.25,At Risk
INV000068,1,,Normal
INV000069,2,119.0,At Risk
INV000070,1,,Normal
INV000071,3,36.5,At Risk
INV000072,4,131.33333333333334,At Risk
INV000073,1,,Normal
INV000074,3,129.0,At Risk
INV000075,1,,Normal
INV000076,3,190.5,At Risk
INV000077,2,87.0,At Risk
INV000078,3,114.0,At Risk
INV000079,3,150.0,At Risk
INV000080,1,,Normal
INV000081,4,157.0,At Risk
INV000082,2,157.0,At Risk
INV000083,1,,Normal
INV000084,3,25.0,Normal
INV000085,3,124.0,At Risk
INV000086,2,102.0,At Risk
INV000087,4,99.66666666666667,At Risk
INV000088,2,7.0,Normal
INV000089,7,79.0,At Risk
INV000090,4,87.0,At Risk
INV000091,4,112.66666666666667,At Risk
INV000092,2,357.0,At Risk
INV000093,3,218.5,At Risk
INV000094,5,112.0,At Risk
INV000095,3,209.5,At Risk
INV000097,4,122.33333333333333,At Risk
INV000098,2,111.0,At Risk
INV000099,3,59.5,At Risk
INV000100,5,55.0,At Risk
INV000101,4,131.33333333333334,At Risk
INV000102,3,187.0,At Risk
